Date,daily_ret,Value,Return_Pct
2010-01-04,0.0,1.0,0.0
2010-01-05,0.0,1.0,0.0
2010-01-07,0.0,1.0,0.0
2010-01-08,0.0,1.0,0.0
2010-01-11,0.0,1.0,0.0
2010-01-12,0.0,1.0,0.0
2010-01-13,0.0,1.0,0.0
2010-01-14,0.0,1.0,0.0
2010-01-15,0.0,1.0,0.0
2010-01-18,0.0,1.0,0.0
2010-01-19,0.0,1.0,0.0
2010-01-20,0.0,1.0,0.0
2010-01-21,0.0,1.0,0.0
2010-01-22,0.0,1.0,0.0
2010-01-25,0.0,1.0,0.0
2010-01-26,0.0,1.0,0.0
2010-01-27,0.0,1.0,0.0
2010-01-28,0.0,1.0,0.0
2010-01-29,0.0,1.0,0.0
2010-02-01,0.0,1.0,0.0
2010-02-02,0.0,1.0,0.0
2010-02-03,0.0,1.0,0.0
2010-02-04,0.0,1.0,0.0
2010-02-05,0.0,1.0,0.0
2010-02-08,0.0,1.0,0.0
2010-02-09,0.0,1.0,0.0
2010-02-10,0.0,1.0,0.0
2010-02-11,0.0,1.0,0.0
2010-02-12,0.0,1.0,0.0
2010-02-15,0.0,1.0,0.0
2010-02-16,0.0,1.0,0.0
2010-02-17,0.0,1.0,0.0
2010-02-18,0.0,1.0,0.0
2010-02-19,0.0,1.0,0.0
2010-02-22,0.0,1.0,0.0
2010-02-23,0.0,1.0,0.0
2010-02-24,0.0,1.0,0.0
2010-02-25,0.0,1.0,0.0
2010-02-26,0.0,1.0,0.0
2010-03-01,0.0,1.0,0.0
2010-03-02,0.0,1.0,0.0
2010-03-03,0.0,1.0,0.0
2010-03-04,0.0,1.0,0.0
2010-03-05,0.0,1.0,0.0
2010-03-08,0.0,1.0,0.0
2010-03-09,0.0,1.0,0.0
2010-03-10,0.0,1.0,0.0
2010-03-11,0.0,1.0,0.0
2010-03-12,0.0,1.0,0.0
2010-03-15,0.0,1.0,0.0
2010-03-16,0.0,1.0,0.0
2010-03-17,0.0,1.0,0.0
2010-03-18,0.0,1.0,0.0
2010-03-19,0.0,1.0,0.0
2010-03-22,0.0,1.0,0.0
2010-03-23,0.0,1.0,0.0
2010-03-24,0.0,1.0,0.0
2010-03-25,0.0,1.0,0.0
2010-03-26,0.0,1.0,0.0
2010-03-29,0.0,1.0,0.0
2010-03-30,0.0,1.0,0.0
2010-03-31,0.0,1.0,0.0
2010-04-01,0.0,1.0,0.0
2010-04-06,0.0,1.0,0.0
2010-04-07,0.0,1.0,0.0
2010-04-08,0.0,1.0,0.0
2010-04-09,0.0,1.0,0.0
2010-04-12,0.0,1.0,0.0
2010-04-13,0.0,1.0,0.0
2010-04-14,0.0,1.0,0.0
2010-04-15,0.0,1.0,0.0
2010-04-16,0.0,1.0,0.0
2010-04-19,0.0,1.0,0.0
2010-04-20,0.0,1.0,0.0
2010-04-21,0.0,1.0,0.0
2010-04-22,0.0,1.0,0.0
2010-04-23,0.0,1.0,0.0
2010-04-26,0.0,1.0,0.0
2010-04-27,0.0,1.0,0.0
2010-04-28,0.0,1.0,0.0
2010-04-29,0.0,1.0,0.0
2010-04-30,0.0,1.0,0.0
2010-05-03,0.0,1.0,0.0
2010-05-04,0.0,1.0,0.0
2010-05-05,0.0,1.0,0.0
2010-05-06,0.0,1.0,0.0
2010-05-07,0.0,1.0,0.0
2010-05-10,0.0,1.0,0.0
2010-05-11,0.0,1.0,0.0
2010-05-12,0.0,1.0,0.0
2010-05-13,0.0,1.0,0.0
2010-05-14,0.0,1.0,0.0
2010-05-17,0.0,1.0,0.0
2010-05-18,0.0,1.0,0.0
2010-05-19,0.0,1.0,0.0
2010-05-20,0.0,1.0,0.0
2010-05-21,0.0,1.0,0.0
2010-05-24,0.0,1.0,0.0
2010-05-25,0.0,1.0,0.0
2010-05-26,0.0,1.0,0.0
2010-05-27,0.0,1.0,0.0
2010-05-28,0.0,1.0,0.0
2010-05-31,0.0,1.0,0.0
2010-06-01,0.0,1.0,0.0
2010-06-02,0.0,1.0,0.0
2010-06-04,0.0,1.0,0.0
2010-06-07,0.0,1.0,0.0
2010-06-08,0.0,1.0,0.0
2010-06-09,0.0,1.0,0.0
2010-06-10,0.0,1.0,0.0
2010-06-11,0.0,1.0,0.0
2010-06-14,0.0,1.0,0.0
2010-06-15,0.0,1.0,0.0
2010-06-16,0.0,1.0,0.0
2010-06-17,0.0,1.0,0.0
2010-06-18,0.0,1.0,0.0
2010-06-21,0.0,1.0,0.0
2010-06-23,0.0,1.0,0.0
2010-06-24,0.0,1.0,0.0
2010-06-28,0.0,1.0,0.0
2010-06-29,0.0,1.0,0.0
2010-06-30,0.0,1.0,0.0
2010-07-01,0.0,1.0,0.0
2010-07-02,0.0,1.0,0.0
2010-07-05,0.0,1.0,0.0
2010-07-06,0.0,1.0,0.0
2010-07-07,0.0,1.0,0.0
2010-07-08,0.0,1.0,0.0
2010-07-09,0.0,1.0,0.0
2010-07-12,0.0,1.0,0.0
2010-07-13,0.0,1.0,0.0
2010-07-14,0.0,1.0,0.0
2010-07-15,0.0,1.0,0.0
2010-07-16,0.0,1.0,0.0
2010-07-19,0.0,1.0,0.0
2010-07-20,0.0,1.0,0.0
2010-07-21,0.0,1.0,0.0
2010-07-22,0.0,1.0,0.0
2010-07-23,0.0,1.0,0.0
2010-07-26,0.0,1.0,0.0
2010-07-27,0.0,1.0,0.0
2010-07-28,0.0,1.0,0.0
2010-07-29,0.0,1.0,0.0
2010-07-30,0.0,1.0,0.0
2010-08-02,0.0,1.0,0.0
2010-08-03,0.0,1.0,0.0
2010-08-04,0.0,1.0,0.0
2010-08-09,0.0,1.0,0.0
2010-08-10,0.0,1.0,0.0
2010-08-11,0.0,1.0,0.0
2010-08-12,0.0,1.0,0.0
2010-08-13,0.0,1.0,0.0
2010-08-16,0.0,1.0,0.0
2010-08-17,0.0,1.0,0.0
2010-08-18,0.0,1.0,0.0
2010-08-19,0.0,1.0,0.0
2010-08-20,0.0,1.0,0.0
2010-08-23,0.0,1.0,0.0
2010-08-24,0.0,1.0,0.0
2010-08-25,0.0,1.0,0.0
2010-08-26,0.0,1.0,0.0
2010-08-27,0.0,1.0,0.0
2010-08-30,0.0,1.0,0.0
2010-08-31,0.0,1.0,0.0
2010-09-01,0.0,1.0,0.0
2010-09-02,0.0,1.0,0.0
2010-09-03,0.0,1.0,0.0
2010-09-06,0.0,1.0,0.0
2010-09-07,0.0,1.0,0.0
2010-09-08,-0.0028,0.9972,-0.28000000000000247
2010-09-09,0.006233333333333334,1.00341588,0.3415879999999927
2010-09-10,-0.010066666666666666,0.9933148268079999,-0.6685173192000127
2010-09-13,0.0025,0.9957981138750198,-0.4201886124980181
2010-09-14,-0.027266666666666668,0.9686460186366943,-3.1353981363305694
2010-09-15,0.014433333333333333,0.9826268095056839,-1.737319049431607
2010-09-16,0.0088,0.9912739254293339,-0.8726074570666098
2010-09-17,-0.0008999999999999998,0.9903817788964475,-0.9618221103552482
2010-09-20,0.005733333333333333,0.9960599677621205,-0.39400322378795316
2010-09-21,0.0,0.9960599677621205,-0.39400322378795316
2010-09-22,0.0,0.9960599677621205,-0.39400322378795316
2010-09-23,0.0,0.9960599677621205,-0.39400322378795316
2010-09-24,0.0,0.9960599677621205,-0.39400322378795316
2010-09-27,0.0,0.9960599677621205,-0.39400322378795316
2010-09-28,0.0,0.9960599677621205,-0.39400322378795316
2010-09-29,0.0,0.9960599677621205,-0.39400322378795316
2010-09-30,0.0,0.9960599677621205,-0.39400322378795316
2010-10-01,0.0,0.9960599677621205,-0.39400322378795316
2010-10-04,0.0,0.9960599677621205,-0.39400322378795316
2010-10-05,0.0,0.9960599677621205,-0.39400322378795316
2010-10-06,0.0,0.9960599677621205,-0.39400322378795316
2010-10-07,0.0,0.9960599677621205,-0.39400322378795316
2010-10-11,0.0,0.9960599677621205,-0.39400322378795316
2010-10-12,0.0,0.9960599677621205,-0.39400322378795316
2010-10-13,0.0,0.9960599677621205,-0.39400322378795316
2010-10-14,0.0,0.9960599677621205,-0.39400322378795316
